#------------------------------------------#
# Urbanize by Junior_Djjr - MixMods.com.br #
#------------------------------------------#

# [x] [y] [z] [radius] [0: object, 1: place, 2: all]

EXCLUSION
1268.0 -812.0 87.0 150.0 0 # Madd Dogg
1336.0 -648.0 108.0 50.0 0 # SH LS hills
2460.0 -1705.0 14.0 20.0 0 # Ryder
322.0 -1755.0 4.0 15.0 0 # SH Santa Maria Beach
-380.0 -1438.0 25.0 30.0 0 # Helena house
-1096.0 -1641.0 76.0 200.0 0 # The Truth farm
-1437.0 -1524.0 103.0 200.0 0 # SH Wetstone
-363.0 1178.0 20.0 30.0 0 # SH Fort Carson
-679.0 944.0 13.0 100.0 0 # Toreno Ranch 
358.0 2522.0 18.0 300.0 0 # Verdant Meadows
875.0 -30.0 63.0 50.0 0 # Catalina house
-2048.0 157.0 32.0 40.0 0 # Doherty garage
1733.2 -1631.8 19.7 4.0 0 # Just Business cutscene
End

# [script name] [x] [y] [z] [radius] [optional args]

LS
GNBAR 2305.0 -1653.0 15.0 100.0
ALHAM 1837.0 -1688.0 15.0 130.0
LSPDP 1535.0 -1666.0 12.0 130.0
LSHSP 1180.0 -1328.0 13.0 120.0
GNBK1 2309.0 -1763.0 24.0 120.0
RAMDB 1842.0 -1510.0 16.0 1000.0
GYMSM 664.0 -1864.0 5.0 130.0
DCTBL 2489.132324 -1646.337769 13.184828 80.0
DCTBL 1835.728882 -2037.865234 12.669755 100.0
DCTBL 2049.604980 -1112.683838 24.546070 100.0
DCTBL 2290.707031 -1114.248291 37.087128 130.0
DCTBL 2799.959717 -2007.773438 12.630204 100.0
SMPR1 370.0 -1933.0 9.0 150.0
LSHS2 2022.0 -1429.0 13.0 110.0
LSFST 1751.0 -1455.0 13.0 130.0
GROVE 2467.0 -1665.0 14.0 100.0
SMBCW 245.1 -1850.5 7.0 170.0
SMBCE 530.0 -1893.0 7.0 170.0
GLNPS 1913.0 -1370.0 13.0 130.0
GLNPN 1971.0 -1200.0 24.0 130.0
VERST 1020.6 -1901.1 12.6 130.0
GANT1 2334.0 -1695.9 15.2 140.0
BEGGN 2609.8 -1614.1 3.2 140.0
AIRPL 1682.7 -2286.6 14.6 150.0
LSCEM 911.3 -1103.1 28.5 100.0
ROBOI 1351.7 -886.6 45.5 120.0
LSCT1 1883.8 -1360.8 21.8 140.0
IDLGS 1949.2 -1813.4 14.4 140.0
LASC1 2141.7 -1033.2 50.2 160.0
LSDNT 1009.4 -1334.2 14.1 160.0
SMPR2 377.0 -2030.0 9.0 160.0
PERSH 1483.0 -1665.0 16.0 160.0
ELCOR 1889.0 -2055.0 14.0 180.0
AIRPP 1824.0 -2294.0 20.0 200.0
AIRPP 1685.0 -2431.0 20.0 200.0
BEGWF 2555.6 -2015.1 9.6 160.0
ELBAR 2336.6 -1410.6 24.1 160.0
LSOBS 1152.0 -2034.0 66.1 150.0
PORT1 2654.0 -2087.6 19.9 160.0
PORT2 2485.8 -2090.0 15.5 160.0
PORT3 2673.3 -2215.2 14.4 160.0
PORT4 2363.1 -2283.2 14.2 160.0
PORT5 2225.6 -2585.2 14.3 160.0
PORT6 2484.4 -2448.7 16.8 160.0
PORT7 2428.5 -2587.5 14.0 160.0
PORT8 2731.6 -2451.0 13.5 160.0
SMVND 384.4 -1782.0 12.0 120.0
HOBOS 902.3 -972.6 36.0 150.0
End

SF
SFPDP -1614.0 713.0 13.0 130.0
SFHSP -2711.0 589.0 14.0 130.0
SFFST -2057.3 64.0 29.0 100.0
