#
# file: cargrp.dat
# description: For each type of ped (worker, clubber etc) we maintain a list of the cars they might drive.
# This list is used to pick cars in a very similar way we pick peds.
#
	  

linerun, packer, taxi, cabbie, mule, bus, coach, rumpo, pony, flatbed, yankee, topfun, cement, towtruck, burrito, boxville, benson, utility, pizzaboy, trash, dft30, sweeper, moonbeam, buccaner, securica	# POPCYCLE_GROUP_WORKERS
bravura, taxi, cabbie, premier, securica, elegant, fortune, feltzer, merit, elegant, huntley, zr350, sentinel, trash, bus, moonbeam 	# POPCYCLE_GROUP_BUSINESS
buffalo, stretch, taxi, cabbie, coach, flash, sultan, club, bus 	# POPCYCLE_GROUP_CLUBBERS
sanchez, walton, rancher, journey, tractor, wayfarer, freeway, linerun, petro, hotknife, bus 	# POPCYCLE_GROUP_FARMERS
taxi, cabbie, bfinject, faggio, glendale, oceanic, mesa, bmx, mtbike, mrwhoop, washing, previon, pcj600, cadrona, sunrise, yosemite, bravura, primo, trash, bus, moonbeam    	# POPCYCLE_GROUP_BEACHFOLK
taxi, cabbie, bfinject, faggio, glendale, mesa, bmx, mtbike, washing, previon, pcj600, cadrona, yosemite, bravura, primo, bus, moonbeam    	# POPCYCLE_GROUP_PARKFOLK
stretch, buffalo, elegant, premier, stratum, infernus, cheetah, banshee, freeway, zr350, comet, supergt, fcr900, windsor, jester, elegy, broadway, stafford, huntley, taxi, cabbie, alpha, slamvan, euros, phoenix, emperor, trash, bus, moonbeam															# POPCYCLE_GROUP_CASUAL_RICH
taxi, cabbie, premier, elegant, fortune, bobcat, primo, landstal, bravura, washing, previon, admiral, solair, pcj600, blistac, nebula, cadrona, vincent, sunrise, yosemite, stratum, bf400, emperor, tahoma, picador, bmx, tornado, euros, sentinel, trash, bus, moonbeam, buccaner									  	# POPCYCLE_GROUP_CASUAL_AVERAGE
bobcat, feltzer, sabre, bike, camper, picador, bmx, moonbeam, newsvan, hotdog, hustler, trash, bus, pcj600, pizzaboy, mtbike, windsor, faggio, glendale, glenshit coach, cabbie, taxi, sweeper, hotknife, buccaner															# POPCYCLE_GROUP_CASUAL_POOR  
peren	# POPCYCLE_GROUP_PROSTITUTES
manana, yosemite, bobcat	# POPCYCLE_GROUP_CRIMINALS
caddy	# POPCYCLE_GROUP_GOLFERS
stretch, broadway, bobcat 	# POPCYCLE_GROUP_SERVANTS
bravura, washing, previon, admiral, solair, pcj600, blistac, nebula, cadrona, vincent, sunrise, yosemite, uranus, stratum, bf400, emperor, wayfarer, trash	# POPCYCLE_GROUP_AIRCREW
turismo, hustler, bullet, buffalo, stretch, taxi, cabbie, coach, flash, sultan, club, trash	# POPCYCLE_GROUP_ENTERTAINERS
mule, rumpo, pony, flatbed, yankee, topfun, cement, burrito, boxville, benson, utility, dft30, forklift, trash, sweeper, bus  	# POPCYCLE_GROUP_OUT_OF_TOWN_FACTORY
sanchez, walton, rancher, wayfarer, freeway, petro, rdtrain   	# POPCYCLE_GROUP_DESERT_FOLK
baggage, tug, forklift	# POPCYCLE_GROUP_AIRCREW_RUNWAY
majestic, tahoma		 											 # Gang 1 (BALLAS - BLACK)
greenwoo, savanna, voodoo											 # Gang 2 (FAMILIES - PLAYER - BLACK)
oceanic, manana, hermes, yosemite  						 	 		 		 # Gang 3 (LSV - MEX)
club, faggio, comet					   					 	 # Gang 4 (SFR - MEX) 
freeway, wayfarer 					 	     				 # Gang 5 (DNB - VIETS)
sentinel, admiral, feltzer 					 						 # Gang 6 (ITALIAN MAFIA)
sultan, stratum, elegy												 # Gang 7 (TRIAD)
hermes, broadway, glendale 											 # Gang 8 (VLA - MEX)
sentinel                                                             # Gang 9 (UNUSED)
sentinel                                                             # Gang 10 (UNUSED)
rancher                                                              # Dealers
squalo, speeder, reefer, tropic, coastg, dinghy, marquis, jetmax 		# Boats
clover, peren, manana, moonbeam, previon, rumpo, glendale, oceanic, hermes, virgo, greenwoo, buccanee, willard, remingtn, hustler, intruder, broadway, tornado, primo, tampa, tahoma, savanna	# Cheat1 (shit cars)
buffalo, infernus, cheetah, banshee, hotknife, turismo, zr350, comet, supergt, bullet, uranus, jester, sultan, elegy, flash, euros, club, phoenix, monsterb	# Cheat2 (fast cars)
pcj600, fcr900, bf400	# Cheat3 (ninja)
hotknife, tug, mrwhoop, pizzaboy, hotdog, bfinject, caddy, quad, bandito, kart, mower, vortex, romero, monster, topfun, rccam 	# Cheat4 (funhouse)
