#
#	A:	PedStat type name		(Ignored: MUST be in correct order)
#
#	B:	Flee distance			(float)
#	C:	Heading change rate		(float in degrees)
#
#	D:	Fear					(0-100) 100=Scared of everything
#	E:	Temper					(0-100) 100=Bad Tempered
#	F:	Lawfullness				(0-100)	100=Boy Scout
#	G:	Sexiness				(0-100)
#	H:	Attack strength			(float multiplier to attack damages)
#	I:	Defend weakness			(float multiplier to received damages)
#
#	J:	Shooting Rate			(0-100 to determine how they fight)
#       
#
#	K: 	Default Decision Maker -> 0: group member, 1:cop, 2:rand_norm 3:rand_tough 4:rand_weak
#									
#
#
#   A                B     C      D   E	  F   G   H     I     J		K
STAT_PLAYER          0.0   9.0    100  0  100  0  1.0   5.0   0		2	
STAT_COP             200.0  17.5  0  100  0  100  5.0   1.0   100       1
STAT_MEDIC           200.0  17.5  0  100  0  100  5.0   1.0   100 	2
STAT_FIREMAN         200.0  17.5  0  100  0  100  5.0   1.0   100	5
STAT_GANG1           17.0  7.5    0  100  0  100  5.0   1.0   100	3
STAT_GANG2           17.0  7.5    100  0  0  0    1.0   5.0   0		3
STAT_GANG3           17.0  7.5    0  100  0  100  5.0   1.0   100 	3
STAT_GANG4           17.0  7.5    0  100  0  100  5.0   1.0   100	3
STAT_GANG5           17.0  7.5    0  100  0  100  5.0   1.0   100	3
STAT_GANG6           17.0  7.5    0  100  0  100  5.0   1.0   100	3
STAT_GANG7           17.0  7.5    0  100  0  100  5.0   1.0   100	3
STAT_GANG8           17.0  7.5    0  100  0  100  5.0   1.0   100	3
STAT_GANG9           17.0  7.5    0  100  0  100  5.0   1.0   100	3
STAT_GANG10          17.0  7.5    0  100  0  100  5.0   1.0   100	3
STAT_STREET_GUY      17.0  7.5    0  100  0  100  5.0   1.0   100	2
STAT_SUIT_GUY        17.0  7.5    0  100  0  100  5.0   1.0   100	2
STAT_SENSIBLE_GUY    17.0  7.5    0  100  0  100  5.0   1.0   100 	4
STAT_GEEK_GUY        17.0  7.5    0  100  0  100  5.0   1.0   100 	4
STAT_OLD_GUY         17.0  7.5    0  100  0  100  5.0   1.0   100	2
STAT_TOUGH_GUY       17.0  7.5    0  100  0  100  5.0   1.0   100 	3
STAT_STREET_GIRL     17.0  7.5    0  100  0  100  5.0   1.0   100	2
STAT_SUIT_GIRL       17.0  7.5    0  100  0  100  5.0   1.0   100 	2
STAT_SENSIBLE_GIRL   17.0  7.5    0  100  0  100  5.0   1.0   100	4
STAT_GEEK_GIRL       17.0  7.5    0  100  0  100  5.0   1.0   100	4
STAT_OLD_GIRL        17.0  7.5    0  100  0  100  5.0   1.0   100	2
STAT_TOUGH_GIRL      17.0  7.5    0  100  0  100  5.0   1.0   100	3
STAT_TRAMP_MALE      17.0  7.5    0  100  0  100  5.0   1.0   100	3
STAT_TRAMP_FEMALE    17.0  7.5    0  100  0  100  5.0   1.0   100	3
STAT_TOURIST         17.0  7.5    0  100  0  100  5.0   1.0   100	2
STAT_PROSTITUTE      17.0  7.5    0  100  0  100  5.0   1.0   100	3
STAT_CRIMINAL        17.0  7.5    0  100  0  100  5.0   1.0   100	3
STAT_BUSKER          17.0  7.5    0  100  0  100  5.0   1.0   100	3
STAT_TAXIDRIVER      17.0  7.5    0  100  0  100  5.0   1.0   100	3
STAT_PSYCHO          17.0  7.5    0  100  0  100  5.0   1.0   100	3
STAT_STEWARD         17.0  7.5    0  100  0  100  5.0   1.0   100	4
STAT_SPORTSFAN       17.0  7.5    0  100  0  100  5.0   1.0   100	3
STAT_SHOPPER         17.0  7.5    0  100  0  100  5.0   1.0   100	4
STAT_OLDSHOPPER      17.0  7.5    0  100  0  100  5.0   1.0   100	4
STAT_BEACH_GUY	     17.0  7.5    0  100  0  100  5.0   1.0   100	2
STAT_BEACH_GIRL      17.0  7.5    0  100  0  100  5.0   1.0   100	2
STAT_SKATER	     20.0  6.0	  0  100  0  100  5.0   1.0   100	4
STAT_STD_MISSION     20.0  15.0   0  100  0  100  5.0   1.0   100	3
STAT_COWARD 	     17.0  7.5    0  100  0  100  5.0   1.0   100	4
