#
# file: cargrp.dat
# description: For each type of ped (worker, clubber etc) we maintain a list of the cars they might drive.
# This list is used to pick cars in a very similar way we pick peds.
#
	  

manana, esperanto, previon, buccaner, elegy, intruder, pcj600, freeway, bike, wayfarer, coach, utility, securica, mule, yankee, benson, petro, moonbeam, walton, sadler, sabre	# POPCYCLE_GROUP_WORKERS
manana, esperanto, previon, buccaner, elegy, intruder, pcj600, freeway, bike, wayfarer, coach, utility, securica, mule, yankee, benson, petro, moonbeam, walton, sadler, sabre 	# POPCYCLE_GROUP_BUSINESS
manana, esperanto, previon, buccaner, elegy, intruder, pcj600, freeway, bike, wayfarer, coach, utility, securica, mule, yankee, benson, petro, moonbeam, walton, sadler, sabre 	# POPCYCLE_GROUP_CLUBBERS
sanchez, walton, rancher, journey, tractor, wayfarer, freeway, linerun, petro, hotknife 	# POPCYCLE_GROUP_FARMERS
manana, esperanto, previon, buccaner, elegy, intruder, pcj600, freeway, bike, wayfarer, coach, utility, securica, mule, yankee, benson, petro, moonbeam, walton, sadler, sabre    	# POPCYCLE_GROUP_BEACHFOLK
manana, esperanto, previon, buccaner, elegy, intruder, pcj600, freeway, bike, wayfarer, coach, utility, securica, mule, yankee, benson, petro, moonbeam, walton, sadler, sabre    	# POPCYCLE_GROUP_PARKFOLK
manana, esperanto, previon, buccaner, elegy, intruder, pcj600, freeway, bike, wayfarer, coach, utility, securica, mule, yankee, benson, petro, moonbeam, walton, sadler, sabre															# POPCYCLE_GROUP_CASUAL_RICH
manana, esperanto, previon, buccaner, elegy, intruder, pcj600, freeway, bike, wayfarer, coach, utility, securica, mule, yankee, benson, petro, moonbeam, walton, sadler, sabre									  	# POPCYCLE_GROUP_CASUAL_AVERAGE
manana, esperanto, previon, buccaner, elegy, intruder, pcj600, freeway, bike, wayfarer, coach, utility, securica, mule, yankee, benson, petro, moonbeam, walton, sadler, sabre															# POPCYCLE_GROUP_CASUAL_POOR  
peren	# POPCYCLE_GROUP_PROSTITUTES
manana, esperanto, previon, buccaner, elegy, intruder, pcj600, freeway, bike, wayfarer, coach, utility, securica, mule, yankee, benson, petro, moonbeam, walton, sadler, sabre	# POPCYCLE_GROUP_CRIMINALS
caddy	# POPCYCLE_GROUP_GOLFERS
stretch, broadway, bobcat 	# POPCYCLE_GROUP_SERVANTS
manana, esperanto, previon, buccaner, elegy, intruder, pcj600, freeway, bike, wayfarer, coach, utility, securica, mule, yankee, benson, petro, moonbeam, walton, sadler, sabre	# POPCYCLE_GROUP_AIRCREW
manana, esperanto, previon, buccaner, elegy, intruder, pcj600, freeway, bike, wayfarer, coach, utility, securica, mule, yankee, benson, petro, moonbeam, walton, sadler, sabre	# POPCYCLE_GROUP_ENTERTAINERS
manana, esperanto, previon, buccaner, elegy, intruder, pcj600, freeway, bike, wayfarer, coach, utility, securica, mule, yankee, benson, petro, moonbeam, walton, sadler, sabre  	# POPCYCLE_GROUP_OUT_OF_TOWN_FACTORY
sanchez, walton, rancher, wayfarer, freeway, petro, rdtrain   	# POPCYCLE_GROUP_DESERT_FOLK
baggage, tug, forklift	# POPCYCLE_GROUP_AIRCREW_RUNWAY
yosemite, oceanic, hermes		 											 # Gang 1 (BALLAS - BLACK)
yosemite, oceanic, hermes											 # Gang 2 (FAMILIES - PLAYER - BLACK)
yosemite, oceanic, hermes  						 	 		 		 # Gang 3 (LSV - MEX)
club, faggio, comet					   					 	 # Gang 4 (SFR - MEX) 
freeway, wayfarer 					 	     				 # Gang 5 (DNB - VIETS)
sentinel, admiral, feltzer 					 						 # Gang 6 (ITALIAN MAFIA)
sultan, stratum, elegy												 # Gang 7 (TRIAD)
yosemite, oceanic, hermes 											 # Gang 8 (VLA - MEX)
sentinel                                                             # Gang 9 (UNUSED)
sentinel                                                             # Gang 10 (UNUSED)
rancher                                                              # Dealers
squalo, speeder, reefer, tropic, coastg, dinghy, marquis, jetmax 		# Boats
clover, peren, manana, moonbeam, previon, rumpo, glendale, oceanic, hermes, virgo, greenwoo, buccanee, willard, remingtn, hustler, intruder, broadway, tornado, primo, tampa, tahoma, savanna	# Cheat1 (shit cars)
buffalo, infernus, cheetah, banshee, hotknife, turismo, zr350, comet, supergt, bullet, uranus, jester, sultan, elegy, flash, euros, club, phoenix, monsterb	# Cheat2 (fast cars)
pcj600, fcr900, bf400	# Cheat3 (ninja)
hotknife, tug, mrwhoop, pizzaboy, hotdog, bfinject, caddy, quad, bandito, kart, mower, vortex, romero, monster, topfun, rccam 	# Cheat4 (funhouse)
