;ragdoll_joint.dat
;datas of springs between points are defined in this file
;
;point1	point2	spring	maxlen	minlen
0	1	1000.0	1.0	1.0
0	10	1000.0	1.0	1.0
0	13	1000.0	1.0	1.0
0	2	800.0	1.25	0.75
0	4	400.0	1.25	0.75
0	7	400.0	1.25	0.75
1	2	1000.0	1.0	1.0
1	4	1000.0	1.0	1.0
1	7	1000.0	1.0	1.0
1	3	800.0	1.25	1.0
1	10	800.0	1.25	0.75
1	11	400.0	1.25	0.75
1	12	200.0	1.25	0.75
1	13	800.0	1.25	0.75
1	14	400.0	1.25	0.75
1	15	200.0	1.25	0.75
2	3	1000.0	1.0	1.0
2	4	1000.0	1.0	1.0
2	7	1000.0	1.0	1.0
2	5	800.0	1.25	0.75
2	6	400.0	1.25	0.75
2	8	800.0	1.25	0.75
2	9	400.0	1.25	0.75
2	10	400.0	1.25	0.75
2	11	200.0	1.25	0.75
2	13	400.0	1.25	0.75
2	14	200.0	1.25	0.75
3	4	800.0	1.25	1.0
3	7	800.0	1.25	1.0
4	5	1000.0	1.0	1.0
4	7	1000.0	1.0	1.0
4	6	800.0	1.25	0.75
4	8	400.0	1.25	0.75
4	9	200.0	1.25	0.75
4	13	800.0	1.0	0.6
5	6	1000.0	1.0	1.0
7	8	1000.0	1.0	1.0
7	9	800.0	1.25	0.75
7	5	400.0	1.25	0.75
7	6	200.0	1.25	0.75
7	10	800.0	1.0	0.6
8	9	1000.0	1.0	1.0
10	11	1000.0	1.0	1.0
10	13	1000.0	1.0	1.0
10	12	800.0	1.25	0.75
11	12	1000.0	1.0	1.0
13	14	1000.0	1.0	1.0
13	15	800.0	1.25	0.75
14	15	1000.0	1.0	1.0
