;ragdoll_pont.dat
;datas of particles are defined in this file
;
;id	offsetx	offsety	offsetz	radius	mass	part
2	0.0	0.0	0.0	0.15	7.5	0	;  0 SPINE
3	0.0	0.0	0.0	0.15	7.5	0	;  1 SPINE1
4	0.0	0.0	0.0	0.15	5.0	0	;  2 NECK
5	0.0	0.0	0.0	0.15	5.0	0	;  3 HEAD
10	0.0	0.0	0.0	0.1	2.5	-4	;  4 R_UPPERARM
11	0.0	0.0	0.0	0.1	2.5	4	;  5 R_FOREARM
12	0.0	0.0	0.0	0.1	2.5	4	;  6 R_HAND
16	0.0	0.0	0.0	0.1	2.5	-7	;  7 L_UPPERARM
17	0.0	0.0	0.0	0.1	2.5	7	;  8 L_FOREARM
18	0.0	0.0	0.0	0.1	2.5	7	;  9 L_HAND
21	0.0	0.0	0.0	0.15	5.0	-10	; 10 L_THIGH
22	0.0	0.0	0.0	0.15	2.5	10	; 11 L_CALF
23	0.0	0.0	0.0	0.1	2.5	10	; 12 L_FOOT
25	0.0	0.0	0.0	0.15	5.0	-13	; 13 R_THIGH
26	0.0	0.0	0.0	0.15	2.5	13	; 14 R_CALF
27	0.0	0.0	0.0	0.1	2.5	13	; 15 R_FOOT
